GSM1253375	GSM1253376	GSM1253377	GSM1253378	GSM1253379	GSM1253380	GSM1253381	GSM1253382	GSM1253383	GSM1253384	GSM1253385	GSM1253386	GSM1253387	GSM1253388	GSM1253389	GSM1253390	GSM1253391	GSM1253392	GSM1253393	GSM1253394	GSM1253395	GSM1253396	GSM1253397	GSM1253398	GSM1253399	GSM1253400	GSM1253401	GSM1253402	GSM1253403
CYP2C19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2C9	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	10	2	0
CYP2F1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
CYP2J2	0	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	1	0	10	0	13	120	0	0	0	438	7	2
CYP2R1	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
CYP2S1	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	2	207	1733	0	0	0	0	0	0	0	0	0
CYP2U1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CYP2W1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CYP3A4	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CYP3A43	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
CYP3A5	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	210	0	0	0	1	293	0	0	0	0	0
CYP46A1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0
CYP4A11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4B1	0	0	1	1	0	0	0	0	25	2	1	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
CYP4F11	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4F12	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4F22	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CYP4F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0
CYP4F30P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	92	2	0	0	2	0	0
CYP4F35P	0	0	0	0	0	0	0	0	0	0	0	0	0	3	35	0	5	0	0	0	0	0	7	2	145	0	5	0	0
CYP4F8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CYP4V2	0	0	0	0	2	35641	21	24	1	0	55	3	0	18	3	2	4	1	96	0	3	0	17	0	0	0	0	0	0
CYP4X1	0	2	2	0	0	46	0	0	4	1	0	1	0	0	0	0	1	0	0	0	0	2	655	5	228	0	17	0	0
CYP4Z1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP51A1	0	0	0	1	3	11	0	0	0	0	0	24	4	1	0	0	1	366	549	422	107	52	62	29	1	29	594	3985	5
CYP7A1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP7B1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
CYP8B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CYR61	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	162	209	114	293	0	42	0	0
CYSLTR1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYSTM1	2	0	0	172	1	2	0	0	0	1	0	1	0	17	43	1	0	38	180	761	970	3339	1	25	0	3	101	0	0
CYTH1	0	0	0	2	2	1	0	0	0	0	3	0	1	0	0	0	0	0	0	259	0	259	1	172	23	2	28	0	0
CYTH2	2007	101	0	259	3	0	0	0	6	1	1	0	0	1	55	801	10	531	178	1182	40	624	341	1081	1444	727	364	1	160
CYTH3	1	2	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	360	0	1
CYTH4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1
CYTIP	0	0	0	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYTL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	318	0	0	0	0	0	0
CYYR1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D2HGDH	0	0	0	0	0	5	0	0	0	0	0	0	0	16	2	0	0	0	0	0	5	1	20	0	0	1	159	2	0
D4S234E	0	0	0	8	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0
DAAM1	1	1	5	2	1	256	1	12	31	3	2	4286	1190	0	2016	6516	0	62	3	4	0	906	125	0	196	839	147	0	0
DAB1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	57	0	0	0	11	0	0
DAB2	0	12	8	5	3	3	11	10	8	13	1380	2026	86341	7244	8927	27947	1	0	0	0	1	17	0	0	1	7	413	1882	1
DAB2IP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	65	40	10	169	34	20	0	2
DACH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	152	0	2	3	13	675	0	0	0	0	71
DACT1	0	2	0	0	0	0	0	5	0	0	0	0	3174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DACT3	0	0	0	0	0	5	0	3	0	0	0	1	15	1	1	2	0	1	0	5	0	0	1	0	0	0	7	1	0
DAD1	4	0	0	1345	14	48568	17	14	1	0	0	1	0	10	2	0	2	1780	1202	957	553	47	194	1887	742	9	2263	10	2
DAG1	0	0	0	0	1	1	0	0	16	0	0	0	0	0	813	1686	6	351	305	748	0	18	627	5	774	0	374	3	1
DAGLA	1	0	0	0	1	0	0	0	3	1	4	0	0	0	0	0	1	0	0	0	0	66	0	16	0	0	0	0	0
DAGLB	0	0	0	1	1	0	0	0	0	0	2322	4	27	0	51	22	1	0	6	0	0	31	238	17	0	72	246	0	3
DAK	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	71	0	37	84	146	3	0	3	597	1	0
DALRD3	297	6	0	0	20	0	2	1	0	0	1	221	1	4	1	0	2	927	1448	3611	0	20	616	1633	1122	4322	2621	11	3
DANCR	2900	12	0	450	4	3	9	5	0	0	1	2	3	2	0	0	2	0	0	167	1360	1699	409	198	1	4	389	66	1
DAND5	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	4	0	1	0	0	0	0	3	0	4	0	5	0	0
DAP	0	0	1	24	5	0	0	0	0	1	0	2121	0	5	4	20	0	1012	140	1282	1157	15	518	963	519	847	491	0	0
DAP3	12	0	0	417	0	0	0	2	1	0	0	0	6	1	0	0	6	408	2	170	26	24	364	691	38	0	162	2472	0
DAPK1	0	0	0	0	0	0	0	3	1	0	0	0	0	1000	85	0	1	0	0	0	1	0	4	0	16	0	0	0	0
DAPK2	0	0	1	0	0	0	0	1	0	0	0	0	722	4	22	0	0	684	186	7	7	0	2	1	4	14	128	0	0
DAPK3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	3	0	0	0	110	2	0	0
DAPL1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1745	6	0	0	0	0
DAPP1	0	3	2	0	0	1	2	1	0	1	488	1	4695	1293	4004	2827	2	0	0	0	1	0	164	126	37	0	13	0	0
DARC	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
DARS	0	0	0	0	1	0	2	5	0	0	0	0	0	7	1	0	12	1282	336	201	1496	0	394	10	37	4	509	1	0
DARS2	0	21729	7	1	0	0	0	1	5	5	0	0	0	0	0	0	0	0	0	484	0	1215	329	1	253	0	99	0	0
DAXX	4605	37	4	1	6	0	0	2	0	2	1	0	282	0	23	1	0	69	2846	1189	0	470	338	24	1057	0	223	0	0
DAZAP1	268	1	0	6	0	0	0	2	0	0	0	0	1411	0	3	45	0	40	164	11	315	65	56	88	2	72	73	0	298
DAZAP2	0	7	5	205	4	5	7	1	3	2	4	39	0	285	201	4132	1	1082	515	463	34	1104	565	970	626	4	169	1	0
DBC1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DBF4	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	180	0	0	0	0	249	0	0	0	70	0	1
DBF4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0
DBH	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBI	335	8	0	361	1	0	1	0	14	3	1	0	2	0	0	1	1	257	126	800	0	0	679	611	611	5	1387	246	725
DBN1	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	292	0	151	0	25	1	0	1	115	2	0
DBNDD1	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	23	259	0	162	1	262	550	7	1376	9426	652
DBNDD2	7	0	0	273	1	0	0	0	1	0	1	0	0	0	0	0	0	11	691	355	1	115	71	333	194	0	121	0	0
DBNL	0	0	0	210	4	106	5	7	0	0	1	0	0	3	2	222	2	467	613	389	1	3	216	37	590	0	456	13	1
DBP	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	7	0	0	2	0	0	0	0	0	0	0	1	0	1
DBR1	2	1	0	100	0	1	1	1	4	0	0	2	0	0	80	0	0	0	0	54	2	75	63	0	0	0	0	0	0
DBT	0	1	0	0	3	1	0	3	0	7	364	163	5	21	13	3	0	0	0	151	30	11	0	151	0	15	0	2	0
DCAF10	5552	33	19	865	3	0	0	1	3	3	1	10	29	2	0	4	4	993	168	86	2	70	589	559	607	84	1149	0	0
DCAF11	0	0	20	6	52636	1	4	6	0	0	6	0	0	7	0	3	0	121	102	25	77	55	2	12	1013	0	0	2	15
DCAF12	1096	11	2775	1856	0	0	6	1	8	3	5	6	0	302	1773	263	7	4594	615	0	903	115	242	55	70	0	0	0	0
DCAF13	2922	24	4	428	3	1	2	3	1	4	2	3	4	1	0	0	0	376	0	545	1	200	505	4	0	1	644	0	14
DCAF13P3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	0	0	0	14	14	0	37	0	0	0	38	0	0
DCAF16	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	8	0	0	243	0	0	0	0	0	0
DCAF17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	90	0	2	0	0	0	91	0	0	80	6	1
DCAF4	0	0	0	0	2	0	1	1	1	0	0	1	0	0	0	1	0	1	886	0	0	9	103	2	550	0	0	0	0
DCAF4L2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF5	0	2	1	0	7	1	1	0	0	0	2	1	0	0	26	0	1	3	2167	1263	92	4	172	678	39	913	402	1	0
DCAF6	6336	47	59	10	5	0	0	0	1	0	1	0	0	3	2	176	0	440	4	1197	758	1	820	404	109	0	101	0	0
DCAF7	0	0	0	0	3	7	6	4	0	0	1	3	13	47	0	0	5	1	1340	79	567	38	1243	603	4	7472	8735	47	55394
DCAF8	0	2	85	0	2	1	3	0	2	1	0	2	4	6	0	2328	2	652	1820	314	118	10	105	22	27	190	892	1262	2
DCAF8L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DCAKD	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	3	2	0	0	4	0	34	2	0
DCBLD1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	877	0	0	16	1	1	0	278	3	0	0
DCBLD2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
DCC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DCDC1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCDC2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	1	0	0	0
DCDC2B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0
DCHS1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	4	3	23	0	0	234	15	0	0	0	0	0	0	0
DCHS2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCK	0	0	3	0	0	0	0	0	0	0	0	138	0	0	86	793	1	0	0	0	0	2	7	0	0	0	1	0	0
DCLK1	1	0	0	2	2	0	0	1	2	0	0	0	0	0	0	1	0	0	0	255	44	0	12	0	0	0	0	0	0
DCLK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	4	0	0
DCLRE1A	2	0	0	1	0	0	0	0	0	0	0	0	0	0	26	105	0	0	0	0	91	1	15	0	0	0	0	0	1
DCLRE1B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	0	0
DCLRE1C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	243	1	146	1	309	0	154
DCN	0	0	0	0	0	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCP1A	1	0	1	0	5	2	1	3	0	0	60	2	292	3	401	299	4	405	2383	113	1	60	36	526	0	88	7	0	1
DCP1B	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	333	50	0	0	6	283	290	0	9	0	0
DCP2	530	7	0	0	0	0	1	3	0	0	0	0	2562	0	0	0	4	1	0	0	5	0	22	0	1	0	302	0	37
DCPS	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	21	4	83	0	0	34	0	0
DCST1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCST2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	89	0	0	0	0	0	0
DCTD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	13	0	5	98	0	0	2	655	0	0
DCTN1	3	0	0	144	4	0	0	0	1	0	0	0	0	2	0	0	1	288	291	1089	57	20	42	674	384	1	628	6	0
DCTN2	4	5	0	4	14	6857	2	2	5	4	29	106	813	2643	1656	14073	12	2270	2920	4013	259	62	428	2081	1624	25	1702	7	9587
DCTN3	526	11150	1	1389	0	0	1	1	2	2	1	1	1	0	0	0	2	0	0	7	1276	1060	13	87	2449	4	1183	3	7954
DCTN4	0	0	1	160	2	0	0	1	3	8	1	1	0	2	39	1	5	153	355	221	112	1	677	301	117	1	268	0	0
DCTN5	5749	31	0	0	3	0	2	2	0	1	0	1	1	19	2	0	4	307	2022	2032	4947	7	304	453	1046	1	536	0	1
DCTN6	1	0	0	265	0	3	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	32	120	687	105	0	32	0	0
DCTPP1	5881	36	0	332	8	0	5	3	1	0	0	0	12	6	1	1	2	170	1458	1260	1843	8	430	177	561	13649	3118	7764	2
DCUN1D1	11	0	1	493	1	0	2	0	13	3	0	0	0	3	0	2	0	786	5	727	0	759	2	0	0	0	1	0	15
DCUN1D2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	86	0	2	411	279	1	0
DCUN1D3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCUN1D4	0	0	0	263	6	0	3	6	0	0	0	0	1	1	2269	117	0	3	1	36	1	0	25	0	0	0	245	5	3
DCUN1D5	0	1	0	488	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	50	1010	299	0	19	0	50	0	0
DCX	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCXR	378	1	0	386	5	0	2	1	0	1	0	0	7	1	1	0	2	7	0	696	412	1366	160	971	416	14	2964	672	4960
DDA1	0	0	12	135	2	0	0	3	0	0	0	0	41	12	0	0	0	14	439	147	10	17	38	79	13	1	241	67	2
DDAH1	0	1	0	3	2	1	0	0	1	1	0	0	0	1	0	0	0	152	43	85	590	1106	7	0	0	2	103	0	4
DDAH2	1325	3	0	0	0	0	0	0	0	0	0	0	11	1	14	1	0	151	807	602	706	44	227	599	225	690	884	4607	1664
DDB1	0	0	23	515	258	0	2	1	2	2	1	2	0	5	0	0	1	833	1446	96	154	332	682	616	371	58	616	1008	119
DDB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	1	108	2	424	238	0	0	1813
DDC	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	31	0	0	0	0	0	2	3	1	4	1	0	1
DDHD1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	2	1133	0	0	0	16	0	0	0	0	0	5980	191	0	0
DDHD2	0	0	0	3	1	0	4	2	1	0	0	0	0	0	3961	0	1	0	1	313	0	912	220	0	0	0	9	0	10
DDI2	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	830	0	0	0	0	0	1	0	0	0	0	0	0	0
DDIT3	0	0	0	384	0	0	1	0	0	0	0	0	1	0	1360	331	0	24	0	11	0	1172	69	858	159	9922	254	2	122
DDIT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	699	0	3	0	0	0	0	0	5	0
DDN	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
DDOST	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	11	199	399	3	333	577	857	136	723	419	2
DDR1	122	0	0	36	24	0	3	1	47	4	0	0	46	8	0	0	6	487	8561	5242	5883	2779	1227	1117	3139	22913	6896	16504	16319
DDRGK1	86	2	1	3	15	0	0	0	22	1	0	0	0	3	24	1387	7	299	7	1549	0	106	62	12	342	3	2376	399	377
DDT	1722	5	0	13	2	0	3	4	0	0	0	0	1	0	0	0	2	25	222	386	218	261	15	173	22	2	328	169	28
DDTL	1684	5	0	2	1	0	2	4	0	0	0	0	0	0	0	0	2	2	139	309	7	12	10	161	7	1	156	4	2
DDX1	0	1	1	9	0	0	0	0	37	4	0	0	9	0	0	1882	1	10	10	5	0	86	704	761	1800	8750	7750	31	1376
DDX10	0	0	0	0	3	0	0	1	0	0	0	1	2	0	0	0	3	0	0	1061	0	0	0	1	217	48	22	1	2
DDX11	74	0	0	0	0	6	1	0	0	0	0	5	1	1	0	0	2	0	0	24	0	1	54	403	0	0	62	0	1
DDX11L2	0	0	0	0	0	1828	0	0	0	0	0	8	0	0	97	7	0	1	5	0	1	0	0	0	0	0	0	0	0
DDX12P	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	43	0	0	0	0	0	0	10	0	0	1	52	0	0
DDX17	8	13	19	1862	17	348	30	15	63	17	14	33952	20550	4888	22443	12317	23	604	207	1580	1599	1644	1808	712	1998	264	2300	20	7
DDX18	0	0	0	0	4	0	1	3	0	0	0	1	0	0	0	0	0	1	10	1140	0	0	137	159	0	3	711	0	0
DDX19A	0	0	0	2	1	1	0	1	0	0	0	0	0	1	7	10	0	1	516	56	68	81	10	0	0	3	147	0	0
DDX19B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	291	1	219	4	0	0	2392	34	0	0
DDX20	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	2	7	411	0	83	0	0
DDX21	1	2	4	17	2	1	3	0	4	4	1	0	1	0	3	1	7	404	1759	78	9	1362	1279	1	115	1	73	1	2
DDX23	7	0	0	38	1	0	0	0	0	2	0	1	328	1	0	0	2	335	49	593	0	2	503	907	286	2949	946	5	7048
DDX24	0	2	1	0	3	0	5	1	0	0	1	2	0	2	4485	0	0	360	1737	1032	1778	17	817	1606	105	25	1072	8	1
DDX26B	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	405	22	20	0	0	0	70	0	0
DDX27	0	0	0	0	6	1	0	0	4	0	0	0	0	5	0	0	1	694	0	1092	1254	0	24	516	721	1	281	291	0
DDX28	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	252	0	0
DDX31	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	81	0	0	55	0	0
DDX39A	0	1	113	3	0	0	0	0	8	1	0	0	11	3	0	0	3	767	6	347	1631	78	459	102	136	8	1935	6	537
DDX39B	1881	13	62	6	12	471	2	1	10	3	1	31779	2	15	6	84	5	3533	4618	4176	1415	251	3487	3501	2009	8449	525	0	4
DDX3X	1	0	0	3	0	203	0	1	6	0	0	287	5	3	2881	312	0	29	143	1	19	178	114	42	0	0	72	0	0
DDX3Y	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DDX41	0	0	0	1	3	0	1	0	0	0	0	0	0	0	9	0	1	46	61	777	28	205	119	0	56	3	835	1	0
DDX42	3	0	0	0	4	9	2	1	0	0	0	0	0	4	1917	0	2	1049	1038	114	1310	21	579	934	0	193	1436	0	1335
DDX43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX46	0	0	0	0	2	0	2	1	5	0	0	0	2	0	0	453	0	13	65	680	292	0	439	0	14	587	356	0	5
DDX47	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	9	123	132	0	156	38	136	143	0	31	0	0
DDX49	0	0	0	9	7	0	1	1	0	1	0	1104	1	0	0	0	0	0	1940	1222	28	415	0	0	4	5850	385	3	477
DDX5	6330	72	24	1299	95	11556	87	48	88	28	20	380	54707	11796	40164	11741	25	16194	15260	21519	30645	9060	4420	7658	5405	141039	28943	1119	25486
DDX50	0	0	1	451	0	0	0	0	0	0	0	1	1	4	0	0	0	405	0	0	0	0	634	93	220	0	334	0	0
DDX51	0	0	0	0	0	44	0	1	0	0	38	19	11	1	1	22	1	12	7	98	0	0	8	0	1	12	316	9	6
DDX52	1061	10	4	0	3	0	3	7	3	1	1	1	523	0	3248	5191	0	0	0	0	1	1	243	164	0	0	0	0	0
DDX54	0	0	0	0	1	0	1	1	0	0	0	0	0	4	0	0	0	772	0	326	0	0	131	254	63	0	207	0	0
DDX55	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	66	0	0	0	0	80	18	70	125	1180	7	32
DDX56	1217	9	0	10	3	0	0	2	0	2	0	0	1	0	0	0	2	148	331	145	1741	3	524	826	351	169	926	2	1
DDX58	0	1	4	1	0	0	0	0	1	1	1	1	0	0	0	412	0	0	0	0	0	1	0	0	0	2	25	1	0
DDX59	0	1	0	0	0	0	0	0	5	0	0	0	0	0	38	2	0	1	0	0	6	0	134	4	685	0	0	0	0
DDX6	0	0	1	1	1	35	5	0	1	0	0	0	0	0	0	16	0	0	10	0	0	36	1	0	0	0	0	0	0
DDX60	0	1	23	0	0	0	0	0	4	3	1	1	0	0	0	0	0	0	125	0	0	0	417	0	26	0	0	0	0
DDX60L	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	360	263	93	0	0
DEAF1	0	0	1	1	1	0	0	1	0	0	0	1559	0	0	0	2	0	19	105	433	409	380	40	133	9	1	188	0	112
DEC1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DECR1	2579	16	1	37	7	1	6	1	21	3	2	1	0	0	1	0	1	0	3	516	1126	9	716	46	0	0	875	0	167
DECR2	1	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	48	59	146	0	4	39	5	0	1	273	4	1
DEDD	216	1	4	7	2	0	3	0	6	5	2	0	1	4	6	357	1	78	0	518	943	484	344	950	84	0	12	7	2
DEDD2	1	1	0	13	0	0	0	1	3	0	0	1	0	0	0	5	2	739	2440	100	0	88	109	20	18	584	156	1	4830
DEF6	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	2	1	0	0	0	6	0	1	0	0	151	1	0
DEF8	205	3	0	17	0	0	0	0	0	0	0	0	10	0	0	0	0	0	57	0	0	64	0	0	0	0	305	2660	8
DEFA1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0
DEFA4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
DEFA6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0
DEFB110	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB125	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB132	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEGS1	0	0	0	7	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	6	0	1148	11	19	26	0	6	0	3
DEGS2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	76	0	13	161	101	456	0	12	1	78
DEK	5	1	1	5	1	1	0	1	4	1	1	806	1	2	187	3	0	200	0	0	0	120	194	1	163	78	35	1	148
DEM1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	231	0	24
DENND1A	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	873	0	0	0	1	3	0	0	1	231	1	0
DENND1B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	7	86	88	0	1	0	0	0
