gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ER_target_lenient	ER_target_stringent	ER_early	ER_late	ER_target_ChIP
PCDHB8	106.4133159	-0.06400552	0.140161664	-0.456654966	0.647919065	0.780087872	no	no	FALSE	FALSE	FALSE
PCDHB10	56.98318306	-0.002145753	0.152872943	-0.014036186	0.988801111	0.993763325	no	no	FALSE	FALSE	FALSE
PCDHB14	171.1238946	-0.069579472	0.127664383	-0.545018671	0.585740676	0.732600369	no	no	FALSE	FALSE	FALSE
PCDHB12	33.32731846	0.413203156	0.152643683	2.70697842	0.006789867	0.022702522	up	no	FALSE	FALSE	FALSE
MRPS14	810.4949158	0.023722309	0.072432699	0.32750829	0.743283474	0.846231652	no	no	FALSE	FALSE	TRUE
CENPL	358.1478668	0.106146785	0.094600469	1.122053479	0.262	0.424	no	no	FALSE	FALSE	FALSE
GORAB	393.7048133	0.044969799	0.091548408	0.49121333700000003	0.623275567	0.760765968	no	no	FALSE	FALSE	FALSE
ACAT2	1545.920765	-0.041591261	0.051211439	-0.812147868	0.417	0.586	no	no	FALSE	FALSE	FALSE
TCP1	6792.730608	0.053610597	0.03072507	1.744848656	0.081	0.176	no	no	FALSE	FALSE	TRUE
SNX19	1605.140239	-0.04731149	0.056385346	-0.839074229	0.401427657	0.571211687	no	no	FALSE	FALSE	TRUE
MSANTD2	142.9460661	0.025727055	0.132893463	0.193591574	0.846495696	0.91247432	no	no	FALSE	FALSE	FALSE
PDZD11	1024.516975	-0.112819776	0.061356078	-1.838770975	0.065948879	0.149770967	no	no	FALSE	FALSE	FALSE
SLC10A7	81.7062273	0.109129134	0.147888992	0.737912485	0.461	0.625	no	no	FALSE	FALSE	FALSE
NUDCD1	2353.004622	0.17636951	0.043144151	4.087912432	4.35272e-5	2.63141e-4	up	no	FALSE	FALSE	TRUE
ENY2	2900.13992	-0.053917206	0.038199069	-1.4114796	0.158	0.294	no	no	FALSE	FALSE	TRUE
MASTL	506.5210064	0.414893223	0.082007505	5.059210384	4.21e-7	3.72e-6	up	no	FALSE	FALSE	FALSE
KIAA1217	819.6142715	-0.250798153	0.067085469	-3.738486966	1.85e-4	9.68e-4	down	no	FALSE	FALSE	TRUE
PLXDC2	854.1667778	0.253462992	0.064518451	3.928534974	8.55e-5	4.83e-4	up	no	FALSE	FALSE	FALSE
EPC1	1481.784792	-0.02908761	0.052335667	-0.555789412	0.578354824	0.726169647	no	no	FALSE	FALSE	FALSE
CCDC77	144.7093436	0.153470666	0.12766851	1.202102747	0.229	0.386	no	no	FALSE	FALSE	FALSE
TAF12	601.8904234	0.120805486	0.076681343	1.575422142	0.115159037	0.232489961	no	no	FALSE	FALSE	FALSE
ENOX1	205.7356189	0.243533279	0.114243166	2.131709814	0.033	0.0862	no	no	FALSE	FALSE	FALSE
MTRF1	70.48666605	0.03558544	0.149682599	0.237739327	0.81208328	0.893117709	no	no	FALSE	FALSE	TRUE
DNAJC15	1050.663167	-0.021371232	0.060834523	-0.351301053	0.725362505	0.835584269	no	no	FALSE	FALSE	FALSE
PROSER1	2500.307151	0.062649115	0.043644306	1.435447609	0.151159588	0.284712838	no	no	FALSE	FALSE	FALSE
UFM1	1832.256646	-0.032105524	0.049141865	-0.653323274	0.513547891	0.672991653	no	no	FALSE	FALSE	FALSE
WBP4	514.9771195	-0.081738087	0.088450253	-0.924113655	0.355427144	0.526776625	no	no	FALSE	FALSE	TRUE
ELF1	3059.613668	0.016710288	0.040127991	0.41642474	0.677099228	0.800719471	no	no	TRUE	FALSE	TRUE
SMAD9	64.52949677	0.135465718	0.150814574	0.898226975	0.369064555	0.541074253	no	no	FALSE	FALSE	FALSE
HSPH1	15472.06154	0.044659465	0.025780415	1.732302008	0.0832	0.18	no	no	FALSE	FALSE	TRUE
KBTBD7	397.0481224	-0.001379243	0.089014354	-0.015494615	0.98763758	0.993148484	no	no	FALSE	FALSE	TRUE
ALG5	531.1612726	0.262135585	0.081412786	3.219833112	0.001282652	0.005417123	up	no	FALSE	FALSE	FALSE
EXOSC8	380.5179834	0.175645752	0.091366268	1.922435441	0.0546	0.129	no	no	FALSE	FALSE	FALSE
ETF1	9197.28848	0.049556015	0.028509191	1.738247011	0.0822	0.178	no	no	FALSE	FALSE	FALSE
TGFBI	3765.553692	-0.441686159	0.036283555	-12.1731776	4.31934e-34	2.83384e-32	down	no	FALSE	FALSE	FALSE
FAM53C	2337.656431	0.044569514	0.044309704	1.005863489	0.314481241	0.482365929	no	no	FALSE	FALSE	FALSE
SIL1	1142.171285	0.078752808	0.059325433	1.327471261	0.184352841	0.330583519	no	no	FALSE	FALSE	FALSE
PAIP2	3509.126857	-0.13742145	0.044973953	-3.055578641	0.00225	0.0088	no	no	FALSE	FALSE	FALSE
KDM3B	5786.901766	-0.075824076	0.030084322	-2.520385093	0.0117	0.0363	no	no	FALSE	FALSE	FALSE
EGR1	5958.329608	-0.893551239	0.079204352	-11.28159272	1.62e-29	8.79e-28	down	down	FALSE	FALSE	FALSE
SERP1	8974.246735	0.085652225	0.026829018	3.192521752	0.00141	0.00589	no	no	FALSE	FALSE	FALSE
PLS1	1493.598978	-0.147104216	0.050532907	-2.911057833	0.0036	0.0133	no	no	FALSE	FALSE	TRUE
ZFP30	237.9452673	0.163073088	0.108468228	1.503418018	0.132731283	0.258437398	no	no	FALSE	FALSE	FALSE
NR2C1	749.2748325	-0.057373165	0.074687591	-0.768175331	0.442383027	0.609379197	no	no	FALSE	FALSE	FALSE
UTP20	3058.020321	0.324335789	0.044397264	7.305310229	2.76628e-13	5.19571e-12	up	no	FALSE	FALSE	FALSE
TMPO	4677.295274	0.221746924	0.034117873	6.499435839	8.06218e-11	1.19315e-9	up	no	FALSE	FALSE	FALSE
ARL1	2625.195645	-0.065619413	0.041863486	-1.567461746	0.117	0.235	no	no	FALSE	FALSE	FALSE
MTERFD3	231.9963423	0.238565257	0.111016199	2.148922946	0.031640509	0.083234649	no	no	FALSE	FALSE	FALSE
SOCS2	1827.800467	-0.215324369	0.047598377	-4.523775452	6.07e-6	4.36e-5	down	no	FALSE	FALSE	FALSE
NFYB	2107.453364	-0.188884872	0.050702245	-3.725374886	1.95e-4	0.00101	down	no	FALSE	FALSE	FALSE
CCDC53	291.2940243	-0.092886157	0.109625785	-0.847302084	0.397	0.567	no	no	FALSE	FALSE	FALSE
APAF1	586.1120456	-0.289896806	0.077223302	-3.754006879	1.74e-4	9.2e-4	down	no	FALSE	FALSE	FALSE
DUSP4	3382.946571	-0.134484766	0.041903075	-3.209424781	0.00133	0.00559	no	no	FALSE	FALSE	FALSE
CLU	21722.93419	-0.136072945	0.023667831	-5.749278154	8.96253e-9	1.00235e-7	no	no	FALSE	FALSE	FALSE
TNFRSF10B	2491.191044	-0.119085447	0.042763798	-2.784725701	0.005357302	0.018494644	no	no	FALSE	FALSE	TRUE
SORBS3	894.6738123	-0.316564055	0.068460201	-4.624059662	3.76e-6	2.82e-5	down	no	FALSE	FALSE	FALSE
PTK2B	337.9005355	-0.457377066	0.106995239	-4.274742218	1.91e-5	1.24e-4	down	no	FALSE	FALSE	FALSE
PPP3CC	193.0228899	-0.163719038	0.125078608	-1.308929162	0.190558347	0.338487734	no	no	FALSE	FALSE	FALSE
PDLIM2	460.6045193	-0.246631866	0.084823312	-2.907595323	0.00364	0.0134	down	no	FALSE	FALSE	FALSE
EPHX2	47.22279517	-0.254380687	0.154482805	-1.646660204	0.099627908	0.20691503	no	no	FALSE	FALSE	FALSE
RNF170	367.0277493	0.08688501	0.094598705	0.918458774	0.358378732	0.529992522	no	no	FALSE	FALSE	TRUE
UBIAD1	733.6115977	0.289527453	0.070327323	4.116855876	3.84076e-5	2.34682e-4	up	no	FALSE	FALSE	FALSE
TARDBP	7558.491331	-0.01042504	0.028671376	-0.363604467	0.716153391	0.828900824	no	no	FALSE	FALSE	FALSE
ZNF706	4605.259201	-0.134632368	0.035879999	-3.752295803	1.75e-4	9.25e-4	no	no	FALSE	FALSE	FALSE
LYPLA1	4203.208353	0.127863998	0.037539857	3.406086401	6.59e-4	0.00301	no	no	FALSE	FALSE	FALSE
CRISPLD1	170.4330356	0.945938383	0.135626858	6.974565322	3.07e-12	5.21e-11	up	up	FALSE	FALSE	FALSE
COPS5	1072.230492	0.039738773	0.059468253	0.66823508	0.503983546	0.665295665	no	no	FALSE	FALSE	FALSE
RDH10	953.6084173	0.223607323	0.063489621	3.521950831	4.28e-4	0.00204	up	no	FALSE	FALSE	FALSE
AKAP1	5286.628635	0.359528615	0.040473632	8.883033187	6.50615e-19	1.91777e-17	up	no	TRUE	FALSE	TRUE
COIL	1671.637039	0.068528064	0.052843069	1.29682219	0.194692374	0.343601751	no	no	FALSE	FALSE	FALSE
TRIM25	7808.05527	-0.032366033	0.033273996	-0.972712529	0.331	0.5	no	no	FALSE	FALSE	FALSE
SCPEP1	623.9757089	-0.086883153	0.074976153	-1.158810501	0.247	0.407	no	no	FALSE	FALSE	FALSE
SPOP	2068.904696	-0.038402759	0.044784671	-0.857497864	0.391169795	0.561569464	no	no	FALSE	FALSE	FALSE
TBX2	6607.083499	-0.166765842	0.033873388	-4.923211206	8.51e-7	7.14e-6	down	no	FALSE	FALSE	TRUE
SLC35B1	2853.739776	0.053920635	0.041172805	1.309617723	0.19032519	0.338254951	no	no	FALSE	FALSE	FALSE
FAM117A	453.9602248	-0.048872173	0.090570224	-0.539605296	0.589469263	0.735339826	no	no	FALSE	FALSE	FALSE
NCAPH	522.7050336	0.274378529	0.08674673	3.162984124	0.00156	0.00643	up	no	FALSE	FALSE	FALSE
KIAA0922	2037.351967	-0.219866728	0.048627499	-4.521448442	6.14e-6	4.41e-5	down	no	FALSE	FALSE	FALSE
MND1	51.35693368	0.28980444	0.154413318	1.87680988	0.0605	0.14	no	no	FALSE	FALSE	FALSE
ABCC11	115.3280867	-0.011008497	0.138926591	-0.07923967	0.936841992	0.965738863	no	no	FALSE	FALSE	TRUE
PAPD5	706.5082216	0.06879165	0.075506164	0.911073308	0.362256749	0.534293373	no	no	FALSE	FALSE	FALSE
ADCY7	496.4325348	0.010175917	0.086653286	0.117432552	0.907	0.948	no	no	FALSE	FALSE	FALSE
CEP89	989.2721601	-0.072857976	0.061455206	-1.185546046	0.23580162	0.393749433	no	no	FALSE	FALSE	FALSE
TSHZ3	195.612334	-0.294324096	0.116316035	-2.530382817	0.0114	0.0354	down	no	FALSE	FALSE	FALSE
ECHDC2	160.5056122	-0.275916117	0.123294859	-2.237855819	0.0252	0.0691	no	no	FALSE	FALSE	FALSE
PLBD1	130.8037285	-0.003076961	0.132515436	-0.02321964	0.981475073	0.989719108	no	no	FALSE	FALSE	FALSE
PYROXD1	559.1520621	0.01366393	0.080360915	0.170032034	0.865	0.924	no	no	FALSE	FALSE	FALSE
KCNJ8	126.9699116	0.515343654	0.134980362	3.817915773	1.34584e-4	7.29098e-4	up	no	FALSE	FALSE	FALSE
PSPC1	2395.667074	0.032059351	0.042825703	0.748600684	0.45409792	0.619667601	no	no	FALSE	FALSE	FALSE
ZNF549	104.4612664	0.057615368	0.140315059	0.410614288	0.681355385	0.804131723	no	no	FALSE	FALSE	FALSE
ZNF211	240.9198279	-0.262516398	0.115878008	-2.265454886	0.02348478	0.065124329	no	no	FALSE	FALSE	FALSE
PDZRN3	445.4523955	0.095615841	0.08512294	1.123267611	0.261	0.423888313	no	no	FALSE	FALSE	FALSE
LHX4	115.8655341	0.212602576	0.135016966	1.574636005	0.115340487	0.232724279	no	no	FALSE	FALSE	TRUE
RNF2	1319.852588	-0.038183358	0.054810556	-0.696642411	0.486026607	0.647905515	no	no	FALSE	FALSE	FALSE
TRMT1L	578.9483963	0.04859628	0.079707017	0.609686353	0.542	0.696	no	no	FALSE	FALSE	FALSE
SEC22A	407.6231332	-0.062136483	0.093200779	-0.666694889	0.504967044	0.666062269	no	no	FALSE	FALSE	FALSE
B4GALT4	1892.281495	-0.391754338	0.046395767	-8.443751777	3.07e-17	8.07e-16	down	no	FALSE	FALSE	FALSE
NAA50	10623.86266	0.21713468	0.02918836	7.439084687	1.01e-13	1.99e-12	up	no	FALSE	FALSE	FALSE
KIF18A	153.5528036	0.328732448	0.129551952	2.537456539	0.0112	0.0348	up	no	FALSE	FALSE	FALSE
DESI2	1022.561388	0.12755105	0.06148278	2.074581717	0.038	0.0965	no	no	FALSE	FALSE	TRUE
MAPK8IP1	1716.667156	-0.144183059	0.047984131	-3.004807115	0.00266	0.0102	no	no	FALSE	FALSE	FALSE
CRY2	746.4450415	-0.073706002	0.070592604	-1.044103739	0.296437396	0.462405961	no	no	FALSE	FALSE	FALSE
PEX16	950.8170252	-0.002176114	0.061878181	-0.035167712	0.972	0.985	no	no	FALSE	FALSE	FALSE
CAT	1433.359039	-0.085866695	0.051678922	-1.661541914	0.0966	0.202	no	no	FALSE	FALSE	FALSE
PILRB	89.00259264	0.276073273	0.14498036	1.90421153	0.056882641	0.1334165	no	no	FALSE	FALSE	FALSE
ZMYM2	6340.970195	-0.033355899	0.030727328	-1.085545062	0.277680317	0.441910873	no	no	FALSE	FALSE	FALSE
GJA3	39.73313534	0.070538985	0.154403898	0.456847177	0.647780894	0.780087872	no	no	FALSE	FALSE	FALSE
TBC1D15	603.2762365	0.126878965	0.074953922	1.692759527	0.0905	0.193	no	no	FALSE	FALSE	FALSE
BAI2	178.4973722	0.048938979	0.123160129	0.397360568	0.691	0.811	no	no	FALSE	FALSE	FALSE
HCRTR1	114.2229782	-0.019615209	0.135503287	-0.144758181	0.884901801	0.935150456	no	no	FALSE	FALSE	FALSE
ZCCHC17	616.4219455	0.142376674	0.079746186	1.785372845	0.0742	0.164701847	no	no	FALSE	FALSE	FALSE
KHDRBS1	7270.879123	-0.081776657	0.031503378	-2.595805996	0.009436933	0.03016471	no	no	FALSE	FALSE	FALSE
TMEM39B	322.5947326	0.07284805	0.104506314	0.697068404	0.485759986	0.647725478	no	no	FALSE	FALSE	FALSE
RNF115	2465.559913	0.068965602	0.041881165	1.646697329	0.0996	0.207	no	no	FALSE	FALSE	FALSE
POLR3GL	286.8150554	0.11076205	0.10736798	1.031611568	0.302	0.469	no	no	FALSE	FALSE	FALSE
ZNF639	1221.590139	0.153105841	0.06153628	2.488058123	0.012844274	0.039266465	up	no	FALSE	FALSE	FALSE
PIK3CA	1244.889652	-0.16059055	0.063909301	-2.512788381	0.011978116	0.036911784	down	no	FALSE	FALSE	FALSE
PDS5A	7269.679058	-0.049457951	0.031618842	-1.564192336	0.117772407	0.236358296	no	no	FALSE	FALSE	FALSE
TMEM156	80.65252845	-0.425708137	0.144859175	-2.938772343	0.0033	0.0122	down	no	FALSE	FALSE	FALSE
LIAS	110.1363538	0.446945439	0.136232496	3.280754968	0.001035296	0.004491016	up	no	FALSE	FALSE	FALSE
CPXM2	78.1085003	1.123616967	0.151486028	7.41729772	1.2e-13	2.32e-12	up	up	FALSE	FALSE	FALSE
TMEM54	1513.602122	-0.209082031	0.052792235	-3.960469386	7.48026e-5	4.28902e-4	down	no	FALSE	FALSE	FALSE
ZSCAN20	111.8325754	-0.102156144	0.134986597	-0.75678731	0.449177297	0.615193572	no	no	FALSE	FALSE	FALSE
HPCA	467.1057787	-0.22307465	0.084103007	-2.652398016	0.007992227	0.02613952	down	no	FALSE	FALSE	FALSE
LRIF1	1215.551562	-0.026991275	0.06011191	-0.449017088	0.65341933	0.783585832	no	no	FALSE	FALSE	FALSE
CLCC1	1973.081508	0.037357224	0.045863503	0.814530536	0.415	0.585	no	no	FALSE	FALSE	FALSE
GPSM2	1532.508177	0.024588991	0.051723953	0.475388861	0.635	0.77	no	no	FALSE	FALSE	FALSE
GTDC1	651.5575842	0.040045977	0.073699116	0.543371199	0.586874251	0.733438265	no	no	FALSE	FALSE	FALSE
CXCR4	248.5897492	-0.212479267	0.113099515	-1.878693	0.0603	0.14	no	no	FALSE	FALSE	FALSE
ZRANB3	429.0506358	0.244967599	0.086652564	2.827009251	0.0047	0.016582177	up	no	FALSE	FALSE	TRUE
ACVR2A	428.23802	-0.13945659999999999	0.087387387	-1.595843576	0.110523721	0.225272187	no	no	FALSE	FALSE	FALSE
POLK	216.2988256	-0.067412104	0.112591684	-0.598730756	0.549352444	0.702202437	no	no	FALSE	FALSE	FALSE
RPL21	15186.17224	0.02999401	0.023883785	1.255831501	0.209	0.362	no	no	FALSE	FALSE	FALSE
MTIF3	592.8250605	-0.027774791	0.074946787	-0.37059348	0.710940339	0.825314547	no	no	FALSE	FALSE	FALSE
GTF3A	2503.39604	0.254922668	0.042744276	5.963901909	2.46e-9	2.98e-8	up	no	FALSE	FALSE	FALSE
UBL3	5395.306676	-0.263340772	0.031845852	-8.26923294	1.35e-16	3.4e-15	down	no	FALSE	FALSE	FALSE
FYTTD1	6853.700474	0.017729246	0.033513183	0.529023025	0.597	0.741	no	no	FALSE	FALSE	FALSE
MTERFD2	943.6638115	0.027504111	0.061396613	0.447974401	0.654171672	0.784025768	no	no	FALSE	FALSE	FALSE
OCRL	3336.525168	0.018797373	0.042872327	0.438450021	0.661060092	0.789593978	no	no	FALSE	FALSE	FALSE
MRPS2	1150.427082	0.381442845	0.067408766	5.658653411	1.53e-8	1.67e-7	up	no	FALSE	FALSE	FALSE
KIAA1191	4075.674916	-0.162053022	0.035460027	-4.570019644	4.88e-6	3.57e-5	down	no	FALSE	FALSE	FALSE
COPA	6755.694814	-0.137843279	0.029772108	-4.629946902	3.6576e-6	2.74358e-5	no	no	FALSE	FALSE	FALSE
RBBP6	3091.09025	0.044841082	0.041091925	1.091238298	0.27516804	0.439041509	no	no	FALSE	FALSE	FALSE
ZC3H7A	1768.493964	0.028042886	0.052387489	0.535297398	0.592	0.737	no	no	FALSE	FALSE	FALSE
SERAC1	174.624334	0.046571369	0.12196427	0.381844366	0.702576809	0.819256982	no	no	FALSE	FALSE	FALSE
ANXA11	2944.557878	-0.156737673	0.038731094	-4.046817615	5.19187e-5	3.085e-4	down	no	FALSE	FALSE	TRUE
LDB3	41.07821367	0.036994567	0.153902784	0.240376203	0.81	0.891574789	no	no	FALSE	FALSE	TRUE
FAM35A	1395.477694	-0.015456206	0.05272664	-0.293138458	0.769	0.865	no	no	FALSE	FALSE	FALSE
FAM213A	1150.815199	0.10149281	0.062357869	1.627586243	0.103612648	0.213508941	no	no	FALSE	FALSE	FALSE
ZNF205	456.6017831	0.010176151	0.08933763	0.113906657	0.909311789	0.949723139	no	no	FALSE	FALSE	FALSE
NAA60	82.63569827	-0.124634477	0.143844114	-0.866455172	0.386240599	0.557144465	no	no	FALSE	FALSE	FALSE
RPL5	17390.77634	0.036115569	0.025726617	1.403821142	0.16	0.297	no	no	FALSE	FALSE	FALSE
ODF2L	300.539054	-0.193419669	0.10043497	-1.925819951	0.054126859	0.128100526	no	no	FALSE	FALSE	FALSE
SPATA1	74.01225415	-0.112002104	0.147550867	-0.75907452	0.44780798	0.614145286	no	no	FALSE	FALSE	FALSE
TRMT13	195.83667	0.141016709	0.116047113	1.215167754	0.224302116	0.380573141	no	no	FALSE	FALSE	FALSE
RWDD3	48.32335666	0.07530873	0.153867069	0.489440203	0.624530079	0.761840008	no	no	FALSE	FALSE	FALSE
ZNF644	1342.755707	-0.01422488	0.054508924	-0.260964235	0.794120088	0.881909702	no	no	FALSE	FALSE	TRUE
CCDC18	260.6253541	0.120557407	0.109560427	1.100373649	0.271	0.435	no	no	FALSE	FALSE	FALSE
RPAP2	458.379893	0.190822226	0.085469123	2.232645197	0.025572351	0.069839548	no	no	FALSE	FALSE	FALSE
PQLC1	1680.493971	-0.134961555	0.048941979	-2.757582681	0.00582	0.0199	no	no	FALSE	FALSE	FALSE
NBPF14	2312.034379	0.178667783	0.047421678	3.767639446	1.64798e-4	8.7438e-4	up	no	FALSE	FALSE	FALSE
BBS9	150.5910445	-0.143227481	0.128040137	-1.118613931	0.263	0.426	no	no	FALSE	FALSE	FALSE
PMS2	611.3849118	0.227135538	0.077377766	2.935410907	0.003331063	0.012362966	up	no	FALSE	FALSE	FALSE
ZMIZ2	3301.985901	-0.070813825	0.040998013	-1.727250152	0.0841	0.182	no	no	FALSE	FALSE	FALSE
SEPT7	2810.67896	-0.102312929	0.041823432	-2.446306378	0.01443283	0.043322307	no	no	FALSE	FALSE	FALSE
EEPD1	137.4001089	-0.177129689	0.127532182	-1.388901896	0.165	0.304	no	no	FALSE	FALSE	FALSE
KLHL7	468.0136305	-0.018865527	0.085577708	-0.22044908	0.826	0.902	no	no	FALSE	FALSE	FALSE
HERPUD2	428.8147039	-0.077466263	0.098578633	-0.785832192	0.431965804	0.599872918	no	no	FALSE	FALSE	FALSE
CBX3	14107.51194	0.086271078	0.024741136	3.486948974	4.89e-4	0.0023	no	no	FALSE	FALSE	FALSE
HNRNPA2B1	32881.76401	-3.73251e-4	0.023147771	-0.016124712	0.987	0.993	no	no	FALSE	FALSE	FALSE
FAM126A	593.7297687	-0.034773915	0.085461608	-0.40689516	0.684084991	0.805701358	no	no	FALSE	FALSE	FALSE
INHBA	105.0053472	-0.4651454	0.14154224	-3.286265642	0.00102	0.00442	down	no	FALSE	FALSE	FALSE
FKBP9	2404.458947	0.033516899	0.044043322	0.760998428	0.447	0.613	no	no	FALSE	FALSE	FALSE
NT5C3A	562.7308096	0.270309852	0.081485869	3.317260446	9.09048e-4	0.004014306	up	no	FALSE	FALSE	FALSE
ARL4A	668.9624364	0.057367573	0.073830548	0.777016751	0.437	0.605	no	no	FALSE	FALSE	FALSE
CCZ1	238.5462169	-0.091294876	0.11401375	-0.800735671	0.423284687	0.592410978	no	no	FALSE	FALSE	FALSE
POLM	221.6658447	0.229657173	0.110506989	2.078214008	0.037689652	0.09590484	no	no	FALSE	FALSE	FALSE
FTSJ2	1595.275872	0.14278387	0.050616658	2.820886945	0.004789108	0.01686434	up	no	FALSE	FALSE	FALSE
SMU1	2379.688735	0.065612612	0.04459543	1.471285551	0.141213909	0.27051432	no	no	FALSE	FALSE	FALSE
GLIPR2	578.8191709	-0.33970942	0.079824707	-4.25569267	2.08e-5	1.34e-4	down	no	FALSE	FALSE	FALSE
SLC25A51	358.0387467	0.059848847	0.098760268	0.60600126	0.544513916	0.698070213	no	no	FALSE	FALSE	FALSE
CLTA	4087.997768	-0.038619798	0.033951849	-1.137487321	0.255	0.417	no	no	FALSE	FALSE	FALSE
RECK	124.2664665	-0.086222173	0.132708106	-0.649712937	0.515877666	0.674892496	no	no	FALSE	FALSE	FALSE
ACO1	1930.600468	0.118463318	0.046217264	2.563183283	0.0104	0.0327	no	no	FALSE	FALSE	FALSE
DCAF10	1631.888228	0.023151094	0.051947119	0.445666565	0.655838119	0.785494011	no	no	FALSE	FALSE	TRUE
KIAA1549	1422.674257	-0.019212132	0.057010155	-0.336994904	0.736	0.841	no	no	FALSE	FALSE	FALSE
TRIM24	3504.706244	-0.120501927	0.037399753	-3.221997905	0.00127	0.00538	no	no	FALSE	FALSE	FALSE
C7orf49	1427.692336	0.047249535	0.055162137	0.856557361	0.392	0.562	no	no	FALSE	FALSE	FALSE
CALD1	1068.293764	-0.327208608	0.060105126	-5.443938468	5.2100000000000003e-08	5.34e-7	down	no	FALSE	FALSE	FALSE
CHST3	282.2734825	-0.243027603	0.101405483	-2.396592344	0.0165	0.0486	down	no	FALSE	FALSE	FALSE
CISD1	434.6638558	0.285850257	0.091693449	3.117455595	0.001824194	0.007344755	up	no	FALSE	FALSE	FALSE
EGR2	455.262148	-0.975669996	0.102279615	-9.539242012	1.44e-21	5.02e-20	down	down	FALSE	FALSE	FALSE
ECD	1213.257685	0.007321227	0.056116358	0.130465119	0.896198449	0.941477857	no	no	FALSE	FALSE	FALSE
P4HA1	1061.903679	0.191257546	0.067600466	2.829234145	0.00467	0.0165	up	no	FALSE	FALSE	FALSE
SLC25A16	431.656896	-0.153246459	0.088868903	-1.724410393	0.084633783	0.182427126	no	no	FALSE	FALSE	TRUE
ZWINT	1036.906093	0.097971579	0.059854521	1.636828375	0.102	0.21	no	no	FALSE	FALSE	FALSE
VPS26A	1862.23476	-0.090926033	0.047970059	-1.895474706	0.058	0.136	no	no	FALSE	FALSE	FALSE
RBM19	1670.581509	-0.005320399	0.049217383	-0.108100002	0.914	0.952	no	no	FALSE	FALSE	FALSE
CIT	531.0781946	0.138272331	0.081944045	1.68739939	0.0915	0.194	no	no	FALSE	FALSE	FALSE
IFT81	367.4600103	0.074706447	0.097096208	0.769406434	0.44165207	0.608752108	no	no	FALSE	FALSE	TRUE
ACADS	368.0232769	-0.052465404	0.097328919	-0.539052575	0.589850578	0.735350497	no	no	FALSE	FALSE	FALSE
DDX54	5641.366497	0.218190703	0.031017633	7.034408508	2e-12	3.5e-11	up	no	FALSE	FALSE	FALSE
MED13L	7794.009536	0.752142359	0.030287492	24.83343155	3.9052e-136	2.4173e-133	up	up	TRUE	FALSE	TRUE
CDKN2C	119.6855032	0.325873739	0.138557262	2.351906607	0.0187	0.0538	no	no	FALSE	FALSE	FALSE
RNF11	2532.057015	-0.118404107	0.046109056	-2.56791434	0.010231244	0.032326279	no	no	FALSE	FALSE	FALSE
RASSF8	1088.161909	-0.19270701	0.058907927	-3.271325606	0.00107	0.00463	down	no	FALSE	FALSE	FALSE
BHLHE41	69.3973261	0.02445481	0.153279214	0.1595442	0.873	0.928	no	no	FALSE	FALSE	FALSE
SSPN	39.19783829	0.084550297	0.154253735	0.548124794	0.584	0.731	no	no	FALSE	FALSE	TRUE
ITPR2	1654.674271	-0.285488792	0.052971458	-5.389483408	7.07e-8	7.09e-7	down	no	FALSE	FALSE	FALSE
CCDC91	562.9289357	0.109098712	0.078292051	1.39348389	0.163473513	0.302216908	no	no	FALSE	FALSE	FALSE
NECAB1	995.9903967	0.187103275	0.065994124	2.835150526	0.00458	0.0162	up	no	FALSE	FALSE	FALSE
WWP1	5293.511876	0.082703341	0.032369168	2.555003627	0.0106	0.0334	no	no	FALSE	FALSE	TRUE
ACOT9	839.9517199	-0.059033486	0.065036481	-0.907698037	0.364037781	0.535912097	no	no	FALSE	FALSE	TRUE
PRDX4	2037.732447	0.219422522	0.048408526	4.532724686	5.82e-6	4.2e-5	up	no	FALSE	FALSE	FALSE
DDX39A	3026.079165	0.195794203	0.040865381	4.791199745	1.65787e-6	1.3223e-5	up	no	FALSE	FALSE	FALSE
PKN1	2166.014269	-0.031893624	0.050591252	-0.630417772	0.528421286	0.684836101	no	no	FALSE	FALSE	FALSE
C19orf43	3200.486529	-0.101476574	0.039196651	-2.588909313	0.009628045	0.030663841	no	no	FALSE	FALSE	FALSE
CD97	981.5072909	5.47001e-4	0.070526159	0.007755998	0.993811671	0.996471355	no	no	FALSE	FALSE	FALSE
WDR83	1578.366894	0.055409762	0.052602107	1.053375326	0.292169008	0.457753953	no	no	FALSE	FALSE	FALSE
GIPC1	8956.548256	-0.240910499	0.027598319	-8.729172757	2.56542e-18	7.27568e-17	down	no	FALSE	FALSE	TRUE
SPRYD7	335.4413336	-0.241423473	0.103051327	-2.342749772	0.019142216	0.054956188	no	no	FALSE	FALSE	FALSE
EBPL	567.6903186	0.379601119	0.079135036	4.796878096	1.61e-6	1.29e-5	up	no	FALSE	FALSE	FALSE
ATP7B	771.0936636	0.090010267	0.070701352	1.27310532	0.202980671	0.354045072	no	no	FALSE	FALSE	FALSE
ZC3H13	2417.001765	0.029369655	0.042123358	0.697229676	0.48565907	0.647651572	no	no	FALSE	FALSE	FALSE
GUCY1B2	34.01479169	-0.088246041	0.153800791	-0.573768445	0.566124505	0.716373174	no	no	FALSE	FALSE	FALSE
NLN	1658.110901	0.232924465	0.051115118	4.556860596	5.19e-6	3.78128e-5	up	no	FALSE	FALSE	FALSE
CENPK	110.5688759	0.255305491	0.142503858	1.791568978	0.0732	0.163	no	no	FALSE	FALSE	FALSE
